StorageLocation,Item,UofM,Qty,UofM2,Qty2,UofM3,Qty3
WATER BTL Taco Shop,WATER BTL Topo Chico Sm,Can (12 OZ-fl),35,,,,
COFFEE Taco Shop,COFFEE Kimbo Blue Capsules Decaff,Capsule,85,,,,
COFFEE Taco Shop,COFFEE Kimbo Blue Capsules Napoli,Capsule,20,,,,
COFFEE Taco Shop,COFFEE Kimbo Blue Capsules Napoli Double,Capsule,36,,,,
COFFEE Taco Shop,COFFEE Milk Whole,Gal,0.3,Bottle (32 OZ-fl),0,Gallon,0
CORDIALS Taco Shop,CORDIALS Amaro Montenegro,Bottle (750 ML),0,Bottle (1 Litre),1.05,,
CORDIALS Taco Shop,CORDIALS Aperol Aperitivo,Bottle (750 ML),0,Bottle (1 Litre),1.1,,
CORDIALS Taco Shop,CORDIALS Baileys Irish Cream,Bottle (1 Litre),0.8,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Campari Aperitivo,Bottle (1 Litre),2.6,Bottle - 750 ML,0,,
CORDIALS Taco Shop,CORDIALS Cointreau,Bottle (750 ML),0,Bottle (1 Litre),8.1,,
CORDIALS Taco Shop,CORDIALS Courvoisier Vs,Bottle (1 Litre),1.3,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Creme De Pamplemousse,Bottle (750 ML),0,,,,
CORDIALS Taco Shop,CORDIALS Disaronno Amaretto,Bottle (750 ML),0,Bottle (1 Litre),1.7,,
CORDIALS Taco Shop,CORDIALS Fernet Branca,Bottle (750 ML),1.5,,,,
CORDIALS Taco Shop,CORDIALS Frangelico,Bottle (1 Litre),1.6,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Grand Marnier,Bottle (1 Litre),5.6,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Hennessy VS,Bottle (1 Litre),1.1,Bottle (750 ML),0,Bottle (375 mL),0
CORDIALS Taco Shop,CORDIALS Jagermeister,Bottle (1 Litre),1.6,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS JF Hadens Espresso,Bottle (750 ML),0,,,,
CORDIALS Taco Shop,CORDIALS Kahlua,Bottle (1 Litre),0.7,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Licor 43,Bottle (1 Litre),1.2,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Lillet Blanc,Bottle (750 ML),1,,,,
CORDIALS Taco Shop,CORDIALS Liqueur Triple Sec,Bottle (1 Litre),18.2,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Lo - Fi Amaro,Bottle (750 ML),1.9,,,,
CORDIALS Taco Shop,CORDIALS Luxardo Maraschino,Bottle (750 ML),1.9,,,,
CORDIALS Taco Shop,CORDIALS Nixta,Bottle (750 ML),1.7,,,,
CORDIALS Taco Shop,CORDIALS Remy Martin Vsop,Bottle (1 Litre),2.2,,,,
CORDIALS Taco Shop,CORDIALS Sambuca Romana Black,Bottle (750 ML),1.3,,,,
CORDIALS Taco Shop,CORDIALS Schnapps Peach,Bottle (1 Litre),2.1,Bottle (750 ML),0,Bottle (1.75 Litre),0
